event_id,p_completed,p_terminated,p_withdrawn,outcome_probability_source,outcome_match_source,actual_deal_status_raw,actual_outcome_label,outcome_train_n,outcome_train_completed,outcome_train_terminated,outcome_train_withdrawn,outcome_nb_categorical_alpha,outcome_nb_prior_strength,outcome_nb_variance_shrinkage,outcome_nb_likelihood_weight,outcome_nb_prior_blend,outcome_nb_inner_validation_brier
E000067_20070906_Alabama_National_Bancorporation__Royal_Bank_of_Canada,0.8537768209505101,0.1119842629148815,0.0342389161346084,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,0.8536488445541743,0.1096371880847252,0.0367139673611005,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000069_20100819_NewAlliance_Bancshares_Inc__First_Niagara_Financial_Group_Inc,0.8559699312388147,0.1095778375484647,0.0344522312127206,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000070_20070603_Digene_Corp__QIAGEN_NV,0.8399699599964022,0.1255418480761598,0.0344881919274379,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000071_20101018_AGA_Medical_Holdings_Inc__St_Jude_Medical_Inc,0.8558957429348716,0.1096592464707572,0.0344450105943711,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000072_20070214_TALX_Corp__Equifax_Inc,0.8489742550373108,0.1166900971758077,0.0343356477868815,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000073_20181030_WildHorse_Resource_Development_Corp__Expand_Energy_Corp,0.854144690110477,0.1093104544856105,0.0365448554039125,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000074_20160303_Carmike_Cinemas_Inc__AMC_Entertainment_Holdings_Inc,0.8535206900215832,0.1107306665586207,0.0357486434197961,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000075_20200806_Sirius_International_Insurance_Group_Ltd__SiriusPoint_Ltd,0.8379569835151099,0.1143270812765996,0.0477159352082904,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000076_20070816_First_Charter_Corp__Fifth_Third_Bancorp,0.8552975318488084,0.110405385761313,0.0342970823898786,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000077_20060727_Fidelity_Bankshares_Inc__National_City_Corp,0.8550248125450035,0.1107029064456074,0.0342722810093891,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000078_20201005_Eidos_Therapeutics_Inc__Bridgebio_Pharma_Inc,0.8593514241299925,0.1042418602916797,0.0364067155783278,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000079_20250113_Enfusion_Inc__Clearwater_Analytics_Holdings_Inc,0.859706738215227,0.1019787183319153,0.0383145434528577,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000080_20091021_Switch___Data_Facilities_Co_Inc__Equinix_Inc,0.8506652710799552,0.1149076222523074,0.0344271066677375,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000081_20150507_Micrel_Inc__Microchip_Technology_Inc,0.853774983588374,0.1109069689061841,0.0353180475054418,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000082_20070501_Community_Banks_Inc_PA__Susquehanna_Bancshares_Inc,0.8556840944338862,0.1100250495182496,0.0342908560478643,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000083_20120723_GeoEye_Inc__DigitalGlobe_Inc,0.852341005605621,0.1129332817412681,0.0347257126531109,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000084_20100813_Allis-Chalmers_Energy_Inc__Archer_Ltd,0.6958064981475733,0.245000502292349,0.0591929995600777,bbg_naive_bayes_temporal_tuned_full_training,event_frame_fallback_no_bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000085_20180607_AV_Homes_Inc__Taylor_Morrison_Home_Corp,0.8549128662811949,0.10880872329779,0.036278410421015,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
