event_id,target,signal,selected_strategy,signal_reason,elect,E_return_%,downside_5%_%,loss_probability_%,realized_return_%,p_completed,p_terminated,p_withdrawn,hedge_side,hedge_ratio,capacity_optimal_notional,capacity_optimal_expected_pnl,capacity_adjusted_E_return_%,capacity_adjusted_realized_return_%
E000240_20130514_Mayflower_Bancorp_Inc__Independent_Bank_Corp,Mayflower Bancorp Inc,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,3.72,-2.85,86.2,-2.85,0.86,0.1055,0.0345,LONG_ACQUIRER,0.395,,,,
E000074_20160303_Carmike_Cinemas_Inc__AMC_Entertainment_Holdings_Inc,Carmike Cinemas Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,3.59,-33.66,14.83,10.49,0.8535,0.1107,0.0357,SHORT_ACQUIRER,0.051,,,,
E000047_20140602_American_Realty_Capital_Healthcare_Trust_Inc__Ventas_Inc,American Realty Capital He,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,CASH,3.52,-0.72,84.87,-0.72,0.8514,0.1132,0.0354,LONG_ACQUIRER,0.152,,,,
E000159_20070119_Merrill_Merchants_Bancshares_Inc__Chittenden_Corp,Merrill Merchants Bancshar,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,CASH,3.28,-0.71,85.82,-0.71,0.8575,0.1082,0.0343,LONG_ACQUIRER,0.612,,,,
E000146_20190107_HopFed_Bancorp_Inc__First_Financial_Corp,HopFed Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,3.28,-29.46,14.03,,0.8611,0.1035,0.0354,SHORT_ACQUIRER,0.058,,,,
E000184_20160426_First_Clover_Leaf_Financial_Corp__First_Mid_Bancshares_Inc,First Clover Leaf Financia,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,3.27,-25.0,14.02,,0.8606,0.1046,0.0348,SHORT_ACQUIRER,0.162,36317.936,1182.6186,3.2563,
E000034_20070219_Florida_Rock_Industries_Inc__Vulcan_Materials_Co,Florida Rock Industries In,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,3.12,-2.27,84.03,-2.27,0.8459,0.1198,0.0344,LONG_ACQUIRER,0.189,,,,
E000116_20150422_Palmetto_Bancshares_Inc__United_Community_Banks_Inc_GA,Palmetto Bancshares Inc,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,CASH,3.11,-0.87,85.93,-0.87,0.8597,0.1056,0.0348,LONG_ACQUIRER,0.679,,,,
E000185_20080903_Lincoln_Bancorp_IN__First_Merchants_Corp,Lincoln Bancorp/IN,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,2.86,-2.34,85.89,-2.34,0.858,0.1077,0.0343,LONG_ACQUIRER,0.56,,,,
E000070_20070603_Digene_Corp__QIAGEN_NV,Digene Corp,ENTER,LONG_TARGET_ELECTION,risk_adjusted_return_positive,CASH,2.68,-25.0,15.83,,0.84,0.1255,0.0345,SHORT_ACQUIRER,0.368,25668799.8325,682025.4935,2.657,
E000052_20240628_Infinera_Corp__Nokia_Oyj,Infinera Corp,PASS_P05,PASS,best_candidate_p05_below_floor,STOCK,2.66,-35.0,15.88,7.83,0.8414,0.1031,0.0555,SHORT_ACQUIRER,1.08,,,,
